Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,1/02/2006 22:47,RUR - Наличные,"1,500.00","1,500.00",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,1/02/2006 22:48,,,,RUR - Наличные,-690,810,,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Света,
+,1/02/2006 22:49,,,,RUR - Наличные,-15,795,,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,1/02/2006 22:49,,,,RUR - Наличные,-76,719,,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,2/02/2006 22:50,,,,RUR - Наличные,-110,609,,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,3/02/2006 22:50,,,,RUR - Наличные,-139,470,,\Все статьи расхода\Связь\телефон - ip,\Все платёжные агенты\Света,
+,3/02/2006 22:51,,,,RUR - Наличные,-200,270,,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,3/02/2006 22:52,,,,RUR - Наличные,-90,180,,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,6/02/2006 10:53,,,,RUR - Наличные,-186,-6,лата,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,6/02/2006 12:00,RUR - Наличные,"1,500.00","1,494.00",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,6/02/2006 22:55,,,,RUR - Наличные,-101,"1,393.00",,\Все статьи расхода\Связь\телефон - ip,\Все платёжные агенты\Света,
+,6/02/2006 22:55,,,,RUR - Наличные,-128,"1,265.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,6/02/2006 22:59,RUR - Наличные,30,"1,295.00",,,,,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Света,
+,7/02/2006 20:41,,,,RUR - Наличные,-126,"1,169.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,7/02/2006 20:41,,,,RUR - Наличные,-15,"1,154.00",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,7/02/2006 20:41,,,,RUR - Наличные,-512,642,нг,\Все статьи расхода\Прочее,\Все платёжные агенты\Света,
+,7/02/2006 20:42,,,,RUR - Наличные,-63,579,рыба,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,8/02/2006 21:06,,,,RUR - Наличные,-89,490,,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,9/02/2006 14:38,,,,RUR - Наличные,-100,390,,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,9/02/2006 14:40,,,,RUR - Наличные,-67,323,,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,10/02/2006 14:38,,,,RUR - Наличные,-78,245,,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,10/02/2006 14:38,,,,RUR - Наличные,-43,202,,\Все статьи расхода\Средства гигиены и косметика\шампунь,\Все платёжные агенты\Света,
+,10/02/2006 14:39,,,,RUR - Наличные,-30,172,,,\Все платёжные агенты\Света,
+,10/02/2006 14:40,,,,RUR - Наличные,-80,92,,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,10/02/2006 15:07,,,,RUR - Наличные,-16,76,бум платки,\Все статьи расхода\Прочее,\Все платёжные агенты\Света,
+,10/02/2006 15:07,,,,RUR - Наличные,-9,67,хна,\Все статьи расхода\Средства гигиены и косметика\краска,\Все платёжные агенты\Света,
+,10/02/2006 15:12,,,,RUR - Наличные,-40,27,пересчет,\Все статьи расхода\Прочее,\Все платёжные агенты\Света,
+,11/02/2006 10:42,,,,RUR - Наличные,-15,12,,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,11/02/2006 14:41,RUR - Наличные,"2,000.00","2,012.00",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,11/02/2006 14:41,,,,RUR - Наличные,-66,"1,946.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,11/02/2006 14:42,,,,RUR - Наличные,-138,"1,808.00",музыка,\Все статьи расхода\Прочее,\Все платёжные агенты\Света,
+,13/02/2006 9:23,RUR - Наличные,"2,000.00","3,808.00",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,13/02/2006 12:22,,,,RUR - Наличные,-100,"3,708.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,13/02/2006 19:21,,,,RUR - Наличные,-321,"3,387.00",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
